Date,Open,High,Low,Close,Volume
2008-04-17,0.162,0.168,0.157,0.159,273720260.992269
2008-04-18,0.159,0.159,0.152,0.152,42812440.8216623
2008-04-21,0.152,0.157,0.152,0.153,20798419.8312933
2008-04-22,0.153,0.153,0.15,0.152,8673608.27028549
2008-04-23,0.151,0.151,0.146,0.149,26454025.223913
2008-04-24,0.15,0.151,0.145,0.147,11625611.0850202
2008-04-25,0.145,0.147,0.14300000000000002,0.146,6522006.21873293
2008-04-28,0.147,0.14800000000000002,0.147,0.14800000000000002,9339608.90531709
2008-04-29,0.147,0.14800000000000002,0.142,0.146,9040808.62041102
2008-04-30,0.146,0.146,0.14300000000000002,0.145,3697203.52528356
2008-05-02,0.14300000000000002,0.145,0.142,0.145,1368001.30438924
2008-05-05,0.14300000000000002,0.14300000000000002,0.14,0.14,6210005.92124065
2008-05-06,0.14,0.141,0.13699999999999998,0.14,3019202.87880994
2008-05-07,0.141,0.141,0.139,0.139,1260001.20141115
2008-05-08,0.139,0.139,0.13699999999999998,0.13699999999999998,2008801.91539263
2008-05-09,0.13699999999999998,0.138,0.13699999999999998,0.13699999999999998,2443202.32959342
2008-05-12,0.13699999999999998,0.141,0.13699999999999998,0.141,1188001.13275908
2008-05-13,0.14400000000000002,0.14400000000000002,0.14,0.142,1008000.96112892
2008-05-14,0.14,0.142,0.139,0.142,1459201.39134853
2008-05-15,0.141,0.142,0.141,0.142,948000.903918862
2008-05-16,0.141,0.142,0.14,0.142,1038000.98973394
2008-05-20,0.14,0.141,0.13699999999999998,0.139,1660801.58357431
2008-05-21,0.138,0.14,0.13699999999999998,0.138,518400.494294871
2008-05-22,0.138,0.138,0.13699999999999998,0.138,454800.433652214
2008-05-23,0.14400000000000002,0.14400000000000002,0.138,0.14,452400.431363811
2008-05-26,0.14,0.141,0.13699999999999998,0.14,740400.705972073
2008-05-27,0.138,0.139,0.138,0.139,456000.434796415
2008-05-28,0.138,0.139,0.13699999999999998,0.139,607200.578965752
2008-05-29,0.147,0.147,0.142,0.14400000000000002,861600.821536383
2008-05-30,0.14300000000000002,0.14400000000000002,0.14,0.14300000000000002,588000.560658535
2008-06-02,0.14300000000000002,0.14300000000000002,0.13699999999999998,0.142,588000.560658535
2008-06-03,0.139,0.141,0.139,0.141,25200.0240282229
2008-06-04,0.142,0.142,0.141,0.141,472800.45081523
2008-06-05,0.14,0.142,0.136,0.142,1528801.45771219
2008-06-06,0.141,0.141,0.141,0.141,12000.0114420109
2008-06-09,0.136,0.141,0.136,0.141,876000.8352667959
2008-06-10,0.141,0.141,0.136,0.136,1153201.09957725
2008-06-11,0.14,0.14,0.135,0.138,228000.217398207
2008-06-12,0.136,0.13699999999999998,0.136,0.13699999999999998,768000.732288698
2008-06-13,0.136,0.13699999999999998,0.136,0.13699999999999998,48000.0457680436
2008-06-16,0.13699999999999998,0.138,0.13699999999999998,0.13699999999999998,168000.160188153
2008-06-18,0.127,0.133,0.127,0.132,396000.37758636
2008-06-19,0.128,0.128,0.127,0.127,696000.663636633
2008-06-20,0.127,0.132,0.125,0.132,146400.139592533
2008-06-24,0.132,0.132,0.125,0.13,312000.297492284
2008-06-25,0.128,0.13,0.128,0.13,48000.0457680436
2008-06-26,0.128,0.128,0.127,0.127,192000.183072175
2008-06-27,0.127,0.127,0.123,0.127,411600.392460974
2008-06-30,0.127,0.127,0.123,0.127,114000.108699104
2008-07-01,0.125,0.126,0.122,0.126,244800.233417023
2008-07-02,0.124,0.124,0.121,0.122,404400.385595768
2008-07-04,0.117,0.122,0.116,0.122,205200.195658387
2008-07-07,0.121,0.121,0.117,0.119,360000.343260327
2008-07-08,0.117,0.117,0.114,0.114,180000.171630164
2008-07-09,0.113,0.117,0.112,0.117,770400.7345771
2008-07-10,0.116,0.125,0.113,0.119,706800.673934442
2008-07-11,0.118,0.118,0.118,0.118,30000.0286050273
2008-07-14,0.116,0.116,0.116,0.116,24000.0228840218
2008-07-15,0.112,0.112,0.111,0.111,264000.25172424
2008-07-16,0.112,0.112,0.112,0.112,4800.00457680436
2008-07-17,0.112,0.117,0.109,0.117,61200.0583542556
2008-07-18,0.112,0.116,0.109,0.116,108000.102978098
2008-07-21,0.109,0.113,0.108,0.113,229200.218542408
2008-07-22,0.109,0.109,0.109,0.109,24000.0228840218
2008-07-23,0.112,0.116,0.112,0.116,84000.0800940764
2008-07-24,0.113,0.122,0.112,0.122,286800.273464061
2008-07-28,0.122,0.132,0.122,0.132,930000.886755846
2008-07-30,0.125,0.125,0.123,0.125,217200.207100397
2008-07-31,0.128,0.128,0.123,0.128,216000.205956196
2008-08-01,0.127,0.131,0.125,0.131,349200.33296251803
2008-08-04,0.133,0.136,0.132,0.135,806400.768903133
2008-08-05,0.13,0.13,0.13,0.13,36000.0343260327
2008-08-06,0.131,0.134,0.13,0.134,312000.297492284
2008-08-07,0.13,0.133,0.13,0.133,96000.0915360873
2008-08-08,0.129,0.132,0.125,0.132,98400.0938244895
2008-08-11,0.132,0.132,0.123,0.128,246000.23456122397
2008-08-12,0.125,0.128,0.123,0.128,72000.0686520654
2008-08-14,0.125,0.128,0.123,0.128,312000.297492284
2008-08-15,0.129,0.129,0.129,0.129,12000.0114420109
2008-08-18,0.129,0.129,0.121,0.121,1130401.07783743
2008-08-19,0.127,0.127,0.127,0.127,12000.0114420109
2008-08-20,0.127,0.127,0.127,0.127,48000.0457680436
2008-08-21,0.125,0.125,0.125,0.125,240000.228840218
2008-08-22,0.127,0.127,0.127,0.127,12000.0114420109
2008-08-25,0.127,0.127,0.127,0.127,144000.137304131
2008-08-26,0.125,0.125,0.125,0.125,144000.137304131
2008-08-27,0.128,0.129,0.128,0.129,18000.0171630164
2008-08-28,0.13,0.132,0.13,0.13,204000.194514185
2008-08-29,0.132,0.132,0.132,0.132,12000.0114420109
2008-09-04,0.117,0.132,0.117,0.132,169200.161332354
2008-09-05,0.131,0.131,0.131,0.131,120000.114420109
2008-09-08,0.125,0.132,0.125,0.132,86400.0823824786
2008-09-10,0.126,0.132,0.126,0.132,216000.205956196
2008-09-11,0.125,0.13,0.124,0.13,126000.120141115
2008-09-12,0.13,0.13,0.127,0.13,36000.0343260327
2008-09-15,0.126,0.129,0.125,0.129,74400.0709404676
2008-09-16,0.126,0.126,0.117,0.126,631200.601849774
2008-09-17,0.123,0.126,0.123,0.126,121200.11556431
2008-09-18,0.118,0.125,0.118,0.125,252000.24028222894
2008-09-19,0.108,0.125,0.108,0.125,75600.0720846687
2008-09-22,0.12,0.131,0.119,0.131,336000.320376306
2008-09-24,0.121,0.131,0.121,0.131,25200.0240282229
2008-09-25,0.124,0.13,0.124,0.13,13200.012586212
2008-09-26,0.121,0.13,0.121,0.13,13200.012586212
2008-09-29,0.13,0.13,0.13,0.13,36000.0343260327
2008-09-30,0.126,0.129,0.117,0.129,294000.28032926697
2008-10-03,0.129,0.129,0.125,0.125,120000.114420109
2008-10-06,0.125,0.125,0.124,0.125,378000.360423344
2008-10-07,0.123,0.127,0.123,0.127,744000.709404676
2008-10-08,0.123,0.125,0.123,0.125,680400.648762019
2008-10-09,0.123,0.128,0.121,0.128,494400.47141085
2008-10-10,0.122,0.125,0.122,0.125,492000.469122447
2008-10-13,0.121,0.124,0.121,0.124,588000.560658535
2008-10-14,0.124,0.127,0.124,0.126,1284001.22429517
2008-10-15,0.125,0.125,0.123,0.125,936000.8924768508
2008-10-16,0.121,0.125,0.117,0.125,1296001.23573718
2008-10-17,0.123,0.123,0.12,0.122,2400002.28840218
2008-10-20,0.119,0.122,0.119,0.121,732000.6979626659
2008-10-21,0.121,0.124,0.121,0.124,660000.6293106
2008-10-22,0.122,0.122,0.121,0.121,396000.37758636
2008-10-23,0.121,0.121,0.119,0.12,704400.67164604
2008-10-24,0.12,0.12,0.116,0.117,1432801.3661761002
2008-10-28,0.115,0.116,0.112,0.115,1952401.86161518
2008-10-29,0.115,0.115,0.112,0.115,1162801.10873086
2008-10-30,0.117,0.117,0.117,0.117,60000.0572100546
2008-10-31,0.115,0.118,0.115,0.118,241200.22998441895
2008-11-03,0.119,0.121,0.119,0.121,540000.514890491
2008-11-04,0.12,0.12,0.12,0.12,324000.308934295
2008-11-05,0.121,0.122,0.119,0.119,1812001.72774365
2008-11-07,0.117,0.118,0.115,0.117,1308001.24717919
2008-11-10,0.119,0.121,0.119,0.121,96000.0915360873
2008-11-11,0.119,0.119,0.118,0.119,504000.48056445795
2008-11-12,0.12,0.12,0.12,0.12,264000.25172424
2008-11-14,0.12,0.12,0.12,0.12,600000.572100546
2008-11-17,0.125,0.125,0.124,0.125,912000.869592829
2008-11-18,0.122,0.125,0.122,0.125,960000.915360873
2008-11-19,0.125,0.125,0.123,0.125,270000.257445245
