Date,Open,High,Low,Close
03/01/2000,812.98,834,812.98,833.89
04/01/2000,834.81,837.66,829.76,832.8
05/01/2000,818.95,823.88,809.41,815.8
06/01/2000,818.41,826.62,811.62,818.43
11/01/2000,831.72,850.12,831.72,846.74
12/01/2000,847.94,863.86,844.71,869.62
13/01/2000,870.91,898.95,870.91,890.6
14/01/2000,894.05,923.63,892.9,928.24
17/01/2000,945.74,979.41,945.74,953.42
18/01/2000,954.72,966.73,940.99,949.62
19/01/2000,945.72,963.25,929.54,933.38
20/01/2000,936.73,958.27,936.73,950.86
21/01/2000,951.95,961.61,947.13,953.96
24/01/2000,956.49,962.11,950.64,954.5
25/01/2000,950.04,950.06,934.66,952.06
26/01/2000,954.47,962.1,954.47,940.95
27/01/2000,946.9,950.36,929.44,939.59
28/01/2000,942.27,945.35,932.05,935.57
31/01/2000,930.1,931.58,919.25,922.1
02/02/2000,928.89,944.3,928.89,942.85
03/02/2000,946.57,956.63,946.57,957.66
08/02/2000,970.2,988.35,970.2,979.05
09/02/2000,983.4,998.08,983.4,991.85
10/02/2000,989.03,1001.88,983.6,997.59
11/02/2000,1000.68,1009.48,995.21,999.81
14/02/2000,1000.29,1003.53,990.93,998.29
15/02/2000,1008.48,1017,990.85,995.52
16/02/2000,1000.81,1003.62,984.41,998.77
17/02/2000,999.14,1010.38,995.46,1006.82
18/02/2000,1016.37,1021.2,1010.48,1013.27
21/02/2000,1007.86,1012.26,1001.97,1007.13
22/02/2000,1009.83,1010.68,993.25,1000.83
23/02/2000,1005.6,1009.9,1001.91,1009.21
24/02/2000,1013.69,1014.41,1003.53,1009.53
25/02/2000,1013.2,1014.66,1005.73,1002.62
28/02/2000,993.22,1003.72,983.09,983.77
29/02/2000,988.93,991.94,968.54,982.24
01/03/2000,981.37,988.4,973.46,969.96
02/03/2000,970.84,970.84,943.19,941.82
03/03/2000,941.4,948.07,928.49,948.31
06/03/2000,954.58,961.68,940.63,940.49
07/03/2000,939.62,940.47,926.11,929.44
08/03/2000,913.01,935.6,905.54,930.72
09/03/2000,929.88,932.28,918.46,922.59
10/03/2000,924.55,940.77,924.55,948.09
13/03/2000,949.94,952.84,933.47,935.83
14/03/2000,935.12,935.61,927.58,932.05
15/03/2000,929.08,929.08,916.63,920.49
17/03/2000,931.45,941.2,927.41,934.78
20/03/2000,933.92,933.92,921.31,928.71
21/03/2000,928.24,941.2,924.63,939.5
22/03/2000,948.36,955.47,945.51,949.11
23/03/2000,949.07,967.88,949.07,971.19
24/03/2000,978.41,982.25,967.83,970.27
27/03/2000,971.83,987.05,971.83,988.37
28/03/2000,988.64,990.5,979.75,981.57
29/03/2000,981.46,988.17,974.43,985.13
30/03/2000,986.54,987.88,976.47,971.48
31/03/2000,970.24,974.18,965.78,974.38
03/04/2000,977.51,979.49,963.01,965.41
04/04/2000,966.65,967.07,961.5,960.63
05/04/2000,959.08,963.84,948.98,955.06
07/04/2000,957.39,962.18,948.18,949.85
10/04/2000,951.37,952.07,932.5,939.55
11/04/2000,936.55,936.55,922.2,933.57
12/04/2000,933.87,940.98,932.04,940.6
13/04/2000,937.89,937.89,926.34,933.85
14/04/2000,932.28,932.76,927.15,931.21
17/04/2000,891.26,892.71,867.24,874.97
18/04/2000,884.34,887.13,876.44,880.9
19/04/2000,886,899,886,896.3
20/04/2000,895.86,898.63,891.98,895.27
21/04/2000,898.98,898.98,898.98,898.98
24/04/2000,899.16,900.01,883.54,887.88
25/04/2000,886.99,889.04,871.74,892.92
